"GEOID","total_pop","pct_white","pct_black","pct_hispanic","pct_asian","poverty_rate","unemployment_rate","median_income","pct_renter","pct_rent_burdened","pct_severe_burden","pct_less_than_hs","median_rent","median_home_value","property_age","vacant_units"
"42101001400",4001,64.7338165458635,23.0442389402649,2.97425643589103,1.72456885778555,12.8717820544864,7.1401728673431,89775,42.7973199329983,44.2270058708415,17.0254403131115,7.08884688090737,1697,664200,86,323
"42101001500",3251,67.210089203322,18.3943402030145,4.76776376499539,8.1820978160566,6.14387156529793,5.61797752808989,110859,37.5764993880049,49.0228013029316,20.5211726384365,2.1411578112609,1712,568300,68,127
"42101001600",2428,88.3031301482702,4.48929159802306,2.84184514003295,4.94233937397035,6.09555189456343,1.76036342986939,146071,41.4205344585091,28.8624787775891,12.0543293718166,2.0515518148343,1912,698800,86,190
"42101001700",2978,70.3828072531901,5.23841504365346,2.98858294157152,3.39153794492948,5.43989254533244,2.83842794759825,131635,33.5202492211838,38.8475836431227,18.4014869888476,0.75354609929078,1738,615500,83,178
"42101001800",3300,75.5757575757576,11.0909090909091,3.87878787878788,5.60606060606061,4.12121212121212,5.3311120366514,114063,42.0767982693348,28.4061696658098,11.8251928020566,0.726855394032135,1870,605000,73,122
"42101001900",3643,57.1781498764754,23.4971177600878,4.55668405160582,13.6700521548175,14.0269009058468,3.41911764705882,138500,44.19595314164,38.5542168674699,19.5180722891566,1.256038647343,2093,512300,45,134
"42101002000",2028,34.7140039447732,40.483234714004,2.12031558185404,11.2919132149901,7.92079207920792,4.21644413211525,103611,35.316265060241,27.0788912579957,18.1236673773987,8.82852292020373,1585,336100,86,146
"42101002100",2363,44.7735928903936,36.8176047397376,1.56580617858654,11.9339822259839,8.80236986881083,8.47362514029181,102969,35.2313167259786,25.5050505050505,9.34343434343434,4.96417604912999,1810,353200,81,129
"42101002200",2418,40.2812241521919,42.8453267162945,9.18114143920596,3.88751033912324,29.873417721519,4.43196004993758,68412,41.1357340720222,60.9427609427609,46.969696969697,4.40785979819437,1433,394000,86,273
"42101002300",2971,75.7993941433861,0.740491417031303,9.66004712218108,14.1029956243689,5.38539212386402,10.5907397551889,106389,45.9940652818991,25.9677419354839,14.6774193548387,10.0940975192472,1714,433800,86,88
"42101002400",4707,77.8202676864245,6.22477161674102,6.73465052050138,7.98810282557892,14.9139579349904,6.41521598968408,98015,41.3376022767698,42.3407917383821,30.3786574870912,6.3247408982195,1579,469600,86,268
"42101002500",4349,59.9678086916533,19.2228098413428,4.23085766842952,12.3016785467924,18.630389670279,8.93015030946066,83576,40.4073898626243,29.6600234466589,18.2883939038687,12.5157232704403,988,519200,61,94
"42101002701",3821,65.1400157026956,8.61031143679665,15.5980109918869,11.0180580999738,14.2632818633865,8.14258911819887,91078,36.0408560311284,37.7867746288799,13.6302294197031,13.5338345864662,1356,375300,86,130
"42101002702",4407,76.8323122305423,6.8527342863626,7.85114590424325,2.06489675516224,5.40049920580894,5.01623962468423,95745,30.6459217350306,35.8461538461538,23.8461538461538,4.42877291960508,1848,337900,86,171
"42101002801",4234,54.5819555975437,4.3221539914974,25.2243741143127,22.03589985829,20.0755786490316,5.06932409012132,71352,49.5575221238938,37.6116071428571,14.9553571428571,24.7027741083223,1284,338000,86,154
