code,citycor,long_code,zoninggroup,pending,pendingbill,pendingbillurl,sunset_date,sunsetbillnum,sunsetbilllink,objectid,globalid,Shape__Area,Shape__Length
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28840,,39365.671875,793.474189106676
I1,0,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28841,,163822.75,2161.0980354676
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28842,,35601.9765625,786.932255205003
CMX2.5,1,CMX-2.5,Commercial/Commercial Mixed-Use,Yes,250493,https://phila.legistar.com/LegislationDetail.aspx?ID=7378109&GUID=F7DFE1FA-E85C-46AF-BA14-FCC458F81F27&Options=ID|Text|&Search=250493,,N/A,N/A,28843,,2372.97265625,195.385931839037
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28844,,148.5078125,58.4859674725997
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28845,,145.859375,57.2930541587358
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28846,,72910.11328125,1286.80882000181
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28847,,16427.9375,553.395506008938
RSD1,0,RSD-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28848,,124990.33984375,1649.21724170345
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28849,,119973.69921875,1853.9590174534
CMX3,0,CMX-3,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28850,,12617.40234375,533.477383417709
CMX3,0,CMX-3,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28851,,6794.5234375,370.563931150624
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28852,,14854.83984375,633.969472279063
SPPOA,1,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28853,,208510.89453125,1980.05241934853
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28854,,2489.64453125,218.95688877882
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28855,,6166.1015625,371.372431968969
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28856,,7239.8828125,454.379000033719
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28857,,2982.77734375,231.951199867068
